typeId,typeName,date,level
2,Nitric Oxide,2016-11-26,3
2,Nitric Oxide,2016-11-27,2
2,Nitric Oxide,2016-11-28,8
2,Nitric Oxide,2016-11-29,15
2,Nitric Oxide,2016-11-30,106
2,Nitric Oxide,2016-12-01,64
2,Nitric Oxide,2016-12-02,94
2,Nitric Oxide,2016-12-03,5
2,Nitric Oxide,2016-12-04,4
2,Nitric Oxide,2016-12-05,16
2,Nitric Oxide,2016-12-06,52
2,Nitric Oxide,2016-12-07,8
2,Nitric Oxide,2016-12-08,7
2,Nitric Oxide,2016-12-09,14
2,Nitric Oxide,2016-12-10,5
2,Nitric Oxide,2016-12-11,18
2,Nitric Oxide,2016-12-12,15
2,Nitric Oxide,2016-12-13,12
2,Nitric Oxide,2016-12-14,7
2,Nitric Oxide,2016-12-15,4
2,Nitric Oxide,2016-12-16,22
2,Nitric Oxide,2016-12-17,56
2,Nitric Oxide,2016-12-18,18
2,Nitric Oxide,2016-12-19,34
2,Nitric Oxide,2016-12-20,9
2,Nitric Oxide,2016-12-21,17
2,Nitric Oxide,2016-12-22,48
2,Nitric Oxide,2016-12-23,2
2,Nitric Oxide,2016-12-24,1
2,Nitric Oxide,2016-12-25,1
2,Nitric Oxide,2016-12-26,7
2,Nitric Oxide,2016-12-27,20
2,Nitric Oxide,2016-12-28,16
2,Nitric Oxide,2016-12-29,68
2,Nitric Oxide,2016-12-30,36
2,Nitric Oxide,2016-12-31,7
3,Nitrogen Dioxide,2016-01-01,22
3,Nitrogen Dioxide,2016-01-02,19
3,Nitrogen Dioxide,2016-01-03,18
3,Nitrogen Dioxide,2016-01-04,28
3,Nitrogen Dioxide,2016-01-05,44
3,Nitrogen Dioxide,2016-01-06,32
3,Nitrogen Dioxide,2016-01-07,27
3,Nitrogen Dioxide,2016-01-08,35
3,Nitrogen Dioxide,2016-01-09,20
3,Nitrogen Dioxide,2016-01-10,21
3,Nitrogen Dioxide,2016-01-11,42
3,Nitrogen Dioxide,2016-01-12,19
3,Nitrogen Dioxide,2016-01-13,31
3,Nitrogen Dioxide,2016-01-14,35
3,Nitrogen Dioxide,2016-01-15,29
3,Nitrogen Dioxide,2016-01-16,52
3,Nitrogen Dioxide,2016-01-17,39
3,Nitrogen Dioxide,2016-01-18,24
3,Nitrogen Dioxide,2016-01-19,54
3,Nitrogen Dioxide,2016-01-20,58
3,Nitrogen Dioxide,2016-01-21,36
3,Nitrogen Dioxide,2016-01-22,19
3,Nitrogen Dioxide,2016-01-23,26
3,Nitrogen Dioxide,2016-01-24,21
3,Nitrogen Dioxide,2016-01-25,20
3,Nitrogen Dioxide,2016-01-26,15
3,Nitrogen Dioxide,2016-01-27,19
3,Nitrogen Dioxide,2016-01-28,32
3,Nitrogen Dioxide,2016-01-29,18
3,Nitrogen Dioxide,2016-01-30,22
3,Nitrogen Dioxide,2016-01-31,11
3,Nitrogen Dioxide,2016-02-01,8
3,Nitrogen Dioxide,2016-02-02,18
