typeId,typeName,date,percent
2,Nitric Oxide,2016-05-16,-61.04
2,Nitric Oxide,2016-05-17,-61.04
2,Nitric Oxide,2016-05-18,-74.03
2,Nitric Oxide,2016-05-19,-61.04
2,Nitric Oxide,2016-05-20,-74.03
2,Nitric Oxide,2016-05-21,-74.03
2,Nitric Oxide,2016-05-22,-61.04
2,Nitric Oxide,2016-05-23,-48.05
2,Nitric Oxide,2016-05-24,-74.03
2,Nitric Oxide,2016-05-25,-61.04
2,Nitric Oxide,2016-05-26,-61.04
2,Nitric Oxide,2016-05-27,-48.05
2,Nitric Oxide,2016-05-28,-74.03
2,Nitric Oxide,2016-05-29,-87.01
2,Nitric Oxide,2016-05-30,-74.03
2,Nitric Oxide,2016-05-31,-87.01
2,Nitric Oxide,2016-06-01,-87.01
2,Nitric Oxide,2016-06-02,-74.03
2,Nitric Oxide,2016-06-03,-61.04
2,Nitric Oxide,2016-06-04,-48.05
2,Nitric Oxide,2016-06-05,-87.01
2,Nitric Oxide,2016-06-06,-61.04
2,Nitric Oxide,2016-06-07,-74.03
2,Nitric Oxide,2016-06-08,-61.04
2,Nitric Oxide,2016-06-09,-61.04
2,Nitric Oxide,2016-06-10,-74.03
2,Nitric Oxide,2016-06-11,-74.03
2,Nitric Oxide,2016-06-12,-87.01
2,Nitric Oxide,2016-06-13,-61.04
2,Nitric Oxide,2016-06-14,-61.04
2,Nitric Oxide,2016-06-15,-35.06
2,Nitric Oxide,2016-06-16,-61.04
2,Nitric Oxide,2016-06-17,-48.05
2,Nitric Oxide,2016-06-18,-74.03
2,Nitric Oxide,2016-06-19,-48.05
2,Nitric Oxide,2016-06-20,-48.05
2,Nitric Oxide,2016-06-21,-61.04
2,Nitric Oxide,2016-06-22,-48.05
2,Nitric Oxide,2016-06-23,-48.05
2,Nitric Oxide,2016-06-24,-61.04
2,Nitric Oxide,2016-06-25,-61.04
2,Nitric Oxide,2016-06-26,-74.03
2,Nitric Oxide,2016-06-27,-61.04
2,Nitric Oxide,2016-06-28,-48.05
2,Nitric Oxide,2016-06-29,-61.04
2,Nitric Oxide,2016-06-30,-22.08
2,Nitric Oxide,2016-07-01,-74.03
2,Nitric Oxide,2016-07-02,-61.04
2,Nitric Oxide,2016-07-03,-61.04
2,Nitric Oxide,2016-07-04,-48.05
2,Nitric Oxide,2016-07-05,-74.03
2,Nitric Oxide,2016-07-06,-61.04
2,Nitric Oxide,2016-07-07,-61.04
2,Nitric Oxide,2016-07-08,-74.03
2,Nitric Oxide,2016-07-09,-48.05
2,Nitric Oxide,2016-07-10,-87.01
2,Nitric Oxide,2016-07-11,-74.03
2,Nitric Oxide,2016-07-12,-61.04
2,Nitric Oxide,2016-07-13,-61.04
2,Nitric Oxide,2016-07-14,-61.04
2,Nitric Oxide,2016-07-15,-61.04
2,Nitric Oxide,2016-07-16,-74.03
2,Nitric Oxide,2016-07-17,-74.03
2,Nitric Oxide,2016-07-18,16.88
2,Nitric Oxide,2016-07-19,-74.03
2,Nitric Oxide,2016-07-20,-74.03
2,Nitric Oxide,2016-07-21,-61.04
2,Nitric Oxide,2016-07-22,-9.09
2,Nitric Oxide,2016-07-23,-74.03
2,Nitric Oxide,2016-07-24,-87.01
2,Nitric Oxide,2016-07-25,-61.04
2,Nitric Oxide,2016-07-26,-61.04
2,Nitric Oxide,2016-07-27,-48.05
2,Nitric Oxide,2016-07-28,-35.06
